category,quote,author
건강,건강한 몸은 영혼이 머무는 가장 좋은 집이다.,버트런드 러셀
건강,당신의 몸은 당신이 사는 곳이다. 잘 돌보라.,짐 론
건강,운동은 약국에서 살 수 없는 가장 좋은 약이다.,레베카 클레어
건강,건강을 잃으면 모든 것을 잃는다.,히포크라테스
건강,"매일 조금씩, 꾸준히 하면 기적이 된다.",작자 미상
마음챙김,지금 이 순간만이 우리가 가진 전부다.,에크하르트 톨레
마음챙김,마음의 평화는 외부에서 오는 것이 아니라 내면에서 온다.,달라이 라마
마음챙김,조용히 숨을 쉬면 폭풍도 고요해진다.,작자 미상
마음챙김,자기 자신을 돌보는 것은 이기심이 아니라 자기 보존이다.,오드리 로드
마음챙김,행복은 목적지가 아니라 여행하는 방식이다.,마거릿 리 런벡
생산성,중요한 일을 먼저 하라. 나머지는 스스로 해결된다.,피터 드러커
생산성,완료가 완벽보다 낫다.,마크 저커버그
생산성,집중이야말로 천재의 비결이다.,아이작 뉴턴
생산성,계획 없는 목표는 그냥 소원에 불과하다.,앙투안 드 생텍쥐페리
생산성,작은 진전도 진전이다.,작자 미상
관계,우리는 서로를 통해 성장한다.,작자 미상
관계,진정한 우정은 두 영혼이 하나가 되는 것이다.,아리스토텔레스
관계,"사람들은 당신이 한 말은 잊어버려도, 느낀 감정은 기억한다.",마야 안젤루
관계,함께하면 우리는 더 많은 것을 이룰 수 있다.,헬렌 켈러
관계,타인의 성공에 기뻐할 줄 아는 것이 진정한 너그러움이다.,작자 미상
자기성장,배움에는 끝이 없다.,공자
자기성장,어제의 나보다 더 나은 오늘의 내가 되어라.,작자 미상
자기성장,투자 중 가장 수익이 높은 것은 자기 자신에 대한 투자다.,벤저민 프랭클린
자기성장,지식은 행동을 통해서만 힘이 된다.,앤턴 체호프
자기성장,성장은 불편함 밖에 있다.,작자 미상
